inning,ou_pitcher,ou_strikes,ou_balls,ou_pitches_inning,ou_hits_allowed,ou_singles_allowed,ou_doubles_allowed,ou_homeruns_allowed,ou_runs_allowed
1,Lowary,7,6,13,0,0,0,0,0
2,Lowary,7,2,9,0,0,0,0,0
3,Lowary,8,5,13,1,1,0,0,0
4,Lowary,10,3,13,2,1,1,0,1
5,Lowary,4,2,6,0,0,0,0,0
6,Parker,8,4,12,0,0,0,0,0
7,Parker,14,10,24,1,0,1,0,1
8,Parker,12,7,19,1,1,0,0,0
9,Parker,7,3,10,0,0,0,0,0
10,Parker,8,5,13,1,1,0,0,0
11,Parker,9,6,15,0,0,0,0,0
12.2,Parker,8,7,15,1,1,0,0,0
12.3,Lowary,5,3,8,1,0,1,0,2
13,Lowary,8,6,14,0,0,0,0,0
14,Lowary,7,3,10,0,0,0,0,0
15,Lowary,8,6,14,0,0,0,0,0
16,Lowary,7,5,12,1,1,0,0,0
17,Lowary,21,6,27,3,3,0,0,1
